OT,schedule_day
6,9
6,9
3,11
5,14
6,14
5,15
9,16
9,16
4,18
4,18
5,22
5,22
7,24
4,25
4,25
4,25
5,0
9,0
7,0
7,1
7,2
4,4
4,4
4,4
9,7
8,9
6,9
6,9
9,14
5,14
5,15
9,16
9,16
4,18
4,18
4,18
5,21
6,21
5,22
5,22
5,22
4,25
4,25
4,25
9,0
7,0
2,1
5,2
4,4
4,4
5,7
6,7
5,8
8,9
6,9
3,11
5,11
9,14
6,14
5,15
9,16
9,16
4,18
4,18
4,18
5,21
6,21
5,22
5,22
5,22
5,25
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
5,2
5,7
6,7
5,8
6,9
7,14
9,14
5,14
6,14
7,15
5,15
5,15
9,16
9,16
5,16
4,18
5,18
4,18
4,18
5,21
5,22
5,22
5,22
9,23
4,23
4,25
4,25
4,25
5,0
9,0
7,0
7,0
4,4
4,4
5,7
6,7
5,8
5,8
9,9
6,9
3,11
5,11
7,14
9,14
5,14
6,14
5,15
5,16
9,16
9,16
5,16
4,18
5,18
4,18
5,21
6,21
5,22
5,22
9,23
9,23
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
5,2
4,4
4,4
4,4
5,7
6,7
3,8
3,8
5,8
5,11
9,14
5,14
6,14
5,15
5,15
5,15
9,16
9,16
5,16
4,18
5,21
3,22
3,22
5,22
5,22
5,23
4,25
4,25
5,0
6,0
7,0
7,0
7,0
5,2
6,7
5,11
5,14
6,14
5,15
5,17
5,17
6,21
5,22
5,22
5,22
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
4,4
5,4
5,7
9,7
6,7
9,14
5,16
9,16
6,21
5,22
5,22
5,22
4,25
4,25
7,0
4,4
9,7
9,14
5,14
6,14
5,15
9,16
9,16
4,18
4,18
5,22
5,22
4,25
4,25
5,0
9,0
7,0
7,0
7,0
5,7
9,7
6,7
5,8
5,8
5,8
8,9
3,11
9,14
5,14
6,14
5,15
9,16
4,18
4,18
5,21
6,21
5,22
5,22
5,22
4,25
4,25
4,25
9,0
7,0
7,0
2,1
4,4
4,4
3,8
6,9
MRI,11
MRI,11
MRI,11
9,14
9,16
4,18
9,21
3,22
3,22
5,22
5,22
4,25
4,25
4,25
9,0
7,0
4,4
4,4
9,7
6,7
5,8
5,8
6,9
9,14
5,14
5,15
9,16
9,16
4,18
5,18
5,18
7,18
5,18
5,21
6,21
9,21
10,22
5,22
5,22
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
4,4
5,7
6,7
6,9
6,9
5,14
6,14
5,15
5,18
4,18
6,21
5,22
4,25
4,25
7,0
5,8
6,9
7,14
5,15
5,15
9,16
9,16
4,18
5,22
5,22
4,25
4,25
4,25
9,0
7,0
4,4
5,8
5,8
5,8
9,14
5,14
6,14
5,15
4,18
6,21
5,22
5,22
9,23
4,25
4,25
4,25
7,0
5,2
4,4
9,7
3,8
6,9
9,14
5,15
5,15
9,16
9,16
4,18
4,18
5,22
5,22
5,22
4,25
4,25
4,25
6,0
9,0
7,0
7,0
7,0
5,1
5,2
6,7
6,9
9,14
5,15
5,15
5,16
9,16
9,16
5,16
5,17
4,18
4,18
5,21
6,21
5,22
5,22
5,22
7,23
4,25
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
4,4
5,7
6,7
5,8
6,9
5,11
7,14
9,14
5,14
6,14
5,15
9,16
9,16
5,21
6,21
5,22
5,22
5,22
9,23
4,25
4,25
4,25
4,25
5,0
7,0
7,0
7,0
5,3
5,3
4,4
9,7
6,7
6,9
9,14
5,15
9,16
4,18
5,21
6,21
5,22
5,22
4,25
4,25
9,0
5,3
9,7
3,8
3,8
5,8
6,9
4,11
4,11
7,14
9,14
5,14
6,14
5,15
5,15
9,16
9,16
5,22
5,22
5,22
5,22
5,22
4,25
4,25
5,0
9,0
7,0
7,0
7,0
5,2
4,4
5,4
4,4
9,7
6,7
5,8
5,8
6,9
5,10
5,11
4,11
5,11
7,14
9,14
5,14
6,14
5,15
5,16
9,16
4,18
5,18
4,18
5,18
5,21
6,21
5,22
4,25
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
5,1
7,1
8,2
4,4
5,4
7,4
7,4
5,7
6,7
3,8
5,8
5,8
9,14
5,14
5,15
9,16
9,16
4,18
4,18
5,21
6,21
9,21
5,22
5,22
5,22
5,22
5,22
5,23
4,25
4,25
4,25
4,25
9,0
7,0
5,3
4,4
4,4
5,7
9,7
6,7
6,9
5,10
9,14
5,15
5,16
9,16
9,16
4,18
5,21
6,21
9,21
5,22
5,22
5,22
5,22
5,25
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
5,2
4,4
5,7
5,8
6,14
5,15
9,16
4,18
4,18
5,21
6,21
5,22
5,22
5,22
5,22
4,25
4,25
4,25
6,0
9,0
7,0
5,1
2,1
5,2
9,14
5,15
9,16
9,16
4,18
4,18
5,21
6,21
5,22
5,22
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
5,2
5,2
4,4
5,4
5,7
6,7
5,8
6,9
7,10
5,11
9,14
5,14
5,15
5,16
9,16
4,18
5,22
5,22
5,22
10,23
5,25
4,25
4,25
5,0
6,0
7,0
7,0
7,0
5,2
5,7
6,7
6,9
6,9
6,9
6,9
5,11
7,14
9,14
5,14
6,14
5,15
5,22
5,22
5,22
4,25
4,25
6,0
7,0
7,0
7,0
5,2
4,4
5,7
5,8
6,9
5,10
5,11
5,14
6,14
5,15
9,16
6,21
5,22
5,22
5,22
9,23
9,23
4,25
4,25
4,25
5,0
9,0
7,0
5,4
5,7
9,7
6,7
3,8
5,8
9,9
6,9
6,9
9,14
7,15
5,15
5,15
9,16
7,16
9,16
4,18
4,18
7,18
5,21
6,21
5,22
5,22
5,22
4,25
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
5,3
4,4
3,4
5,7
9,7
6,7
5,8
5,8
6,9
5,11
7,14
9,14
5,14
6,14
5,15
9,16
9,16
5,16
4,18
4,18
4,18
5,18
5,21
6,21
5,22
5,22
5,22
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
5,7
6,7
6,9
6,10
5,11
7,14
9,14
6,14
5,15
5,15
5,16
9,16
9,16
5,16
4,18
5,21
6,21
3,22
3,22
5,22
5,22
5,22
9,23
3,25
4,25
5,25
4,25
4,25
5,0
9,0
7,0
7,0
7,0
8,2
5,2
4,4
5,7
6,7
6,9
5,10
5,11
5,11
7,14
9,14
5,14
6,14
9,16
5,17
5,21
6,21
5,22
5,22
7,23
7,23
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
4,2
4,4
5,4
5,7
6,7
5,8
9,9
9,14
5,14
6,14
5,15
5,15
9,16
9,16
4,18
4,18
6,21
5,22
5,22
5,22
4,23
4,25
4,25
4,25
4,25
5,0
9,0
7,0
7,0
7,0
4,4
4,4
9,7
6,9
9,14
5,15
9,16
9,16
4,18
4,18
5,22
5,22
5,22
5,23
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
9,7
6,7
5,8
5,10
5,11
9,14
5,14
5,15
9,16
9,16
4,18
4,18
5,21
6,21
9,21
5,22
5,22
9,23
4,25
4,25
6,0
7,0
7,0
7,0
5,2
4,4
4,4
5,7
5,8
5,11
7,14
9,14
5,14
6,14
5,15
5,15
9,16
9,16
4,18
5,18
4,18
5,21
6,21
9,21
5,22
5,22
4,25
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
8,2
5,7
6,7
5,8
5,8
8,9
6,9
5,11
9,14
5,14
6,14
5,15
5,16
5,17
5,21
6,21
5,22
5,22
5,22
7,24
7,24
4,25
4,25
4,25
5,0
6,0
7,0
7,0
7,0
5,2
5,7
6,7
8,9
6,9
5,11
9,14
5,14
6,14
5,15
5,15
5,16
9,16
9,16
5,16
4,18
5,18
5,21
6,21
5,22
5,22
4,25
4,25
4,25
5,0
9,0
7,0
4,4
4,4
9,7
3,8
6,9
7,14
9,14
5,14
6,14
5,15
9,16
9,16
5,16
5,17
4,18
4,18
5,18
6,21
5,22
5,22
5,22
5,22
7,24
4,25
5,25
4,25
4,25
6,0
9,0
7,0
7,0
7,0
8,2
5,3
4,4
4,4
5,7
6,7
10,8
5,8
10,9
10,9
8,9
6,9
5,10
5,11
7,14
9,14
5,14
6,14
7,15
5,15
5,15
5,15
5,16
9,16
7,16
9,16
6,16
5,16
5,17
4,18
5,21
6,21
2,22
3,22
5,22
5,22
5,22
4,25
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
10,2
4,4
9,7
5,8
3,8
6,9
5,11
7,14
9,14
5,15
5,15
9,16
9,16
4,18
5,21
6,21
5,22
5,22
5,22
7,23
7,23
5,24
6,25
4,25
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
8,2
8,2
5,2
4,4
5,4
5,7
5,8
6,9
6,9
4,9
4,10
5,14
6,14
10,14
5,15
5,16
5,18
5,21
6,21
5,22
5,22
5,22
5,22
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
7,1
9,7
5,8
5,8
6,9
9,14
5,15
5,15
9,16
9,16
6,21
9,21
9,21
5,22
5,22
5,22
4,25
4,25
5,0
7,0
5,3
6,9
6,9
5,11
7,14
5,14
5,15
5,15
5,15
5,16
5,18
5,22
5,22
5,22
4,25
4,25
9,0
7,0
5,7
6,7
5,8
6,9
5,11
7,14
9,14
5,15
4,18
4,18
5,21
6,21
9,21
5,22
5,22
4,25
4,25
4,25
6,0
9,0
7,0
4,4
5,7
9,7
6,7
8,9
6,9
9,14
5,15
9,16
9,16
4,18
4,18
4,18
5,22
5,22
5,22
4,25
4,25
7,0
4,4
3,11
9,14
6,14
9,16
9,16
5,22
6,25
4,25
4,25
4,25
9,0
7,0
2,1
4,4
5,8
7,14
9,14
5,15
9,16
9,16
4,18
4,18
4,18
9,21
3,22
5,22
5,22
5,22
5,22
5,22
4,25
4,25
9,0
7,0
6,7
6,9
5,11
9,14
5,14
6,14
5,15
9,16
9,16
5,17
4,18
4,18
9,21
5,22
4,25
4,25
9,0
5,7
6,7
5,8
5,8
5,8
5,11
9,14
5,14
6,14
5,15
9,16
9,16
9,21
5,22
5,22
4,25
4,25
4,25
4,25
9,0
7,0
4,4
6,9
9,14
5,15
9,16
4,18
3,18
7,18
5,22
5,22
4,25
4,25
4,25
4,25
9,0
7,0
5,7
6,7
5,8
5,8
5,8
9,14
5,14
6,14
5,15
9,16
4,18
5,18
4,18
4,18
5,21
5,22
5,22
4,25
4,25
5,0
6,0
7,0
7,0
7,0
5,2
5,2
5,7
9,7
5,8
6,9
5,15
5,15
4,18
5,21
6,21
5,22
5,22
5,22
4,25
4,25
4,25
5,0
6,0
9,0
7,0
7,0
7,0
2,1
5,2
7,2
8,2
5,2
5,4
5,7
6,7
3,8
6,9
9,14
5,14
6,14
5,15
5,15
9,16
9,16
4,18
5,21
6,21
5,22
5,22
5,22
4,25
4,25
7,0
5,2
5,7
6,7
6,9
9,14
5,14
5,15
9,16
9,16
5,16
5,22
5,22
5,22
4,25
4,25
